GMT,CFDM1,CFDM1
,QME,SQME
1962-01-28 00:00:00,9.48629,12.147498
1962-01-29 00:00:00,8.778239,11.617756
1962-01-30 00:00:00,8.49508,10.902696
1962-01-31 00:00:00,7.7870297,10.24067
1962-02-01 00:00:00,7.2207117,9.695687
1962-02-02 00:00:00,6.7961254,9.193072
1962-02-03 00:00:00,6.654393,8.749284
1962-02-04 00:00:00,6.0880747,8.349386
1962-02-05 00:00:00,5.6634884,7.989722
1962-02-06 00:00:00,5.380329,7.676388
1962-02-07 00:00:00,5.2385974,7.384084
1962-02-08 00:00:00,4.955438,7.1094594
1962-02-09 00:00:00,4.814011,6.864705
1962-02-10 00:00:00,4.530547,6.639763
1962-02-11 00:00:00,4.3891196,6.4453006
1962-02-12 00:00:00,4.247388,6.2605915
1962-02-13 00:00:00,4.1059604,6.1127634
1962-02-14 00:00:00,3.9642286,5.9311028
1962-02-15 00:00:00,3.9642286,5.8143644
1962-02-16 00:00:00,3.8228014,5.647334
1962-02-17 00:00:00,3.8228014,5.543702
1962-02-18 00:00:00,3.6810694,5.437327
1962-02-19 00:00:00,3.6810694,5.301386
1962-02-20 00:00:00,3.6810694,5.2352443
1962-02-21 00:00:00,3.8228014,5.1468525
1962-02-22 00:00:00,3.8228014,5.0215797
1962-02-23 00:00:00,3.8228014,4.9590955
1962-02-24 00:00:00,3.8228014,4.928311
1962-02-25 00:00:00,3.9642286,4.8237643
1962-02-26 00:00:00,3.9642286,4.7228756
1962-02-27 00:00:00,3.9642286,4.676546
1962-02-28 00:00:00,3.9642286,4.650943
1962-03-01 00:00:00,4.1059604,4.60949
1962-03-02 00:00:00,4.247388,4.4851317
1962-03-03 00:00:00,4.247388,4.4229527
1962-03-04 00:00:00,4.247388,4.390034
1962-03-05 00:00:00,4.3891196,4.370527
1962-03-06 00:00:00,4.3891196,4.358335
1962-03-07 00:00:00,4.3891196,4.3010325
1962-03-08 00:00:00,4.3891196,4.1931334
1962-03-09 00:00:00,4.530547,4.148023
1962-03-10 00:00:00,4.672279,4.5692563
1962-03-11 00:00:00,4.814011,6.0140085
1962-03-12 00:00:00,4.955438,7.911998
1962-03-13 00:00:00,5.2385974,11.5244875
1962-03-14 00:00:00,5.2385974,12.626949
1962-03-15 00:00:00,5.380329,11.632997
1962-03-16 00:00:00,5.380329,10.317784
1962-03-17 00:00:00,5.380329,9.918801
1962-03-18 00:00:00,5.6634884,13.530986
1962-03-19 00:00:00,5.8049154,17.505882
1962-03-20 00:00:00,5.9466476,19.003975
1962-03-21 00:00:00,5.9466476,16.876165
1962-03-22 00:00:00,6.0597286,14.533777
1962-03-23 00:00:00,6.0597286,14.189658
1962-03-24 00:00:00,6.767779,16.117823
1962-03-25 00:00:00,10.108996,18.586397
1962-03-26 00:00:00,14.3566885,21.480474
1962-03-27 00:00:00,17.697906,26.9876
1962-03-28 00:00:00,22.370186,33.232952
1962-03-29 00:00:00,23.361395,37.668095
1962-03-30 00:00:00,26.334719,39.42039
1962-03-31 00:00:00,31.431583,40.6655
1962-04-01 00:00:00,37.94455,41.12727
1962-04-02 00:00:00,58.61578,70.83917
1962-04-03 00:00:00,145.54869,111.14379
1962-04-04 00:00:00,108.736786,100.28255
1962-04-05 00:00:00,74.19015,78.8737
1962-04-06 00:00:00,50.40386,60.225124
1962-04-07 00:00:00,37.661392,46.97882
1962-04-08 00:00:00,33.98032,37.79489
1962-04-09 00:00:00,49.83754,49.59492
1962-04-10 00:00:00,61.730835,52.681324
1962-04-11 00:00:00,55.784187,45.564854
1962-04-12 00:00:00,46.43963,38.874798
1962-04-13 00:00:00,35.679276,32.00857
1962-04-14 00:00:00,31.148424,29.749697
1962-04-15 00:00:00,33.697163,38.02471
1962-04-16 00:00:00,36.528755,40.661537
1962-04-17 00:00:00,36.811913,44.279514
1962-04-18 00:00:00,36.528755,41.907253
1962-04-19 00:00:00,32.847683,38.816887
1962-04-20 00:00:00,28.883152,32.741615
1962-04-21 00:00:00,25.994867,27.276245
1962-04-22 00:00:00,24.324257,22.566172
1962-04-23 00:00:00,22.823423,19.031712
1962-04-24 00:00:00,22.511917,16.493336
1962-04-25 00:00:00,22.653345,14.685263
1962-04-26 00:00:00,21.039429,13.376147
1962-04-27 00:00:00,19.736713,12.321844
1962-04-28 00:00:00,19.595285,11.429999
1962-04-29 00:00:00,18.490995,10.668304
1962-04-30 00:00:00,17.556479,9.973665
1962-05-01 00:00:00,17.159935,10.085222
1962-05-02 00:00:00,20.614536,15.163494
1962-05-03 00:00:00,22.823423,14.540178
1962-05-04 00:00:00,20.897696,18.419367
1962-05-05 00:00:00,21.039429,31.452919
1962-05-06 00:00:00,21.917252,28.05501
1962-05-07 00:00:00,20.331379,22.59208
1962-05-08 00:00:00,18.632423,18.513247
1962-05-09 00:00:00,16.90512,15.759683
1962-05-10 00:00:00,14.781275,13.185038
1962-05-11 00:00:00,13.308786,11.459869
1962-05-12 00:00:00,12.063069,10.432999
1962-05-13 00:00:00,11.241938,9.695078
1962-05-14 00:00:00,10.448848,9.073895
1962-05-15 00:00:00,9.825837,8.497214
1962-05-16 00:00:00,9.741102,7.9921603
1962-05-17 00:00:00,9.825837,7.5185013
1962-05-18 00:00:00,9.316212,7.105192
1962-05-19 00:00:00,8.976359,6.715353
1962-05-20 00:00:00,8.551773,6.3566036
1962-05-21 00:00:00,8.155229,6.043269
1962-05-22 00:00:00,7.928762,5.750966
1962-05-23 00:00:00,8.070189,5.4763412
1962-05-24 00:00:00,7.532217,5.231587
1962-05-25 00:00:00,6.994245,5.0066447
1962-05-26 00:00:00,8.410041,4.812182
1962-05-27 00:00:00,8.891625,4.6274734
1962-05-28 00:00:00,8.070189,4.4796453
1962-05-29 00:00:00,7.3624434,4.2979846
1962-05-30 00:00:00,6.6260467,4.1812463
1962-05-31 00:00:00,6.0880747,4.014216
1962-06-01 00:00:00,6.0030355,3.9105837
1962-06-02 00:00:00,8.948013,3.951427
1962-06-03 00:00:00,12.544348,4.6823373
1962-06-04 00:00:00,9.48629,4.3421807
1962-06-05 00:00:00,7.532217,4.0776143
1962-06-06 00:00:00,6.6260467,3.8520622
1962-06-07 00:00:00,6.852818,4.193438
1962-06-08 00:00:00,9.401251,5.319674
1962-06-09 00:00:00,7.9854546,4.7783494
1962-06-10 00:00:00,6.6260467,4.3635163
1962-06-11 00:00:00,5.748223,4.1199813
1962-06-12 00:00:00,5.3236365,3.8907719
1962-06-13 00:00:00,5.0404773,3.6841173
1962-06-14 00:00:00,4.672279,3.5835333
1962-06-15 00:00:00,4.275734,3.439363
1962-06-16 00:00:00,3.9078405,3.3518853
1962-06-17 00:00:00,3.5112958,3.308299
1962-06-18 00:00:00,3.2281365,3.2314894
1962-06-19 00:00:00,2.9449775,3.110179
1962-06-20 00:00:00,2.8315918,3.052267
1962-06-21 00:00:00,2.9449775,3.0230062
1962-06-22 00:00:00,2.8882847,3.0059373
1962-06-23 00:00:00,2.718511,2.9416246
1962-06-24 00:00:00,2.4917397,2.8322015
1962-06-25 00:00:00,2.5484326,2.7797759
1962-06-26 00:00:00,3.1714437,2.75082
1962-06-27 00:00:00,3.2281365,2.733751
1962-06-28 00:00:00,3.5679886,2.723388
1962-06-29 00:00:00,4.049268,2.7218637
1962-06-30 00:00:00,3.3695638,2.7218637
1962-07-01 00:00:00,2.8882847,2.6953464
1962-07-02 00:00:00,2.718511,2.5792174
1962-07-03 00:00:00,2.378659,2.5176477
1962-07-04 00:00:00,2.1521926,2.4847295
1962-07-05 00:00:00,2.0388072,2.4649174
1962-07-06 00:00:00,2.0388072,2.4530303
1962-07-07 00:00:00,2.0388072,2.4496775
1962-07-08 00:00:00,2.0104606,2.4496775
1962-07-09 00:00:00,1.9537679,2.4496775
1962-07-10 00:00:00,1.840687,2.430475
