Anderson,REXP,LZPK,LZFPM,PXADJ,PFREE,ZPERC,RIVA,PEADJ,LZTWM,RSERV,ADIMP,UZK,SIDE,LZFSM,LZSK,UZTWM,UZFWM,PCTIM,EFC
MIN,1,0.001,10,0.5,0,5,0,0.5,10,0,0,0.1,0,5,0.01,10,5,0,0
MAX,5,0.05,1000,1.5,0.8,350,0.2,1.5,500,0.6,0.2,0.75,0.1,400,0.35,300,150,0.05,0.8
