Anderson,SCF,MFMAX,MFMIN,UADJ,SI,PLWHC,PXTEMP,TIPM,NMF
MIN,0.5,0.5,0.1,0.05,10,0.02,0.5,0.05,0.05
MAX,2,2.2,0.6,0.2,200,0.3,2,0.2,0.3
